timestamp,currentCharge,application_workload,brightness,gps,power_saving,refresh_rate,discharge_rate
1709517229,2134650,0,0,0,0,60,2247.0
1709517350,2134650,0,0,0,0,120,2247.0
1709517471,2134650,0,0,0,1,60,2247.0
1709517591,2134650,0,0,0,1,120,2247.0
1709517712,2134650,0,0,1,0,60,2247.0
1709517833,2134650,0,0,1,0,120,2247.0
1709517954,2134650,0,0,1,1,60,2247.0
1709518075,2134650,0,0,1,1,120,2247.0
1709518195,2134650,0,20,0,0,60,2247.0
1709518316,2134650,0,20,0,0,120,2247.0
1709518437,2112180,0,20,0,1,60,3210.0
1709518558,2112180,0,20,0,1,120,3210.0
1709518679,2112180,0,20,1,0,60,3210.0
1709518800,2112180,0,20,1,0,120,3210.0
1709518921,2112180,0,20,1,1,60,3210.0
1709519042,2112180,0,20,1,1,120,3210.0
1709519162,2112180,0,40,0,0,60,3210.0
1709519283,2089710,0,40,0,0,120,3210.0
1709519404,2089710,0,40,0,1,60,3210.0
1709519525,2089710,0,40,0,1,120,3210.0
1709519645,2089710,0,40,1,0,60,3210.0
1709519766,2089710,0,40,1,0,120,3210.0
1709519887,2089710,0,40,1,1,60,3210.0
1709520008,2089710,0,40,1,1,120,3210.0
1709520129,2067240,0,60,0,0,60,7490.0
1709520250,2067240,0,60,0,0,120,7490.0
1709520370,2067240,0,60,0,1,60,7490.0
1709520491,2044770,0,60,0,1,120,4494.0
1709520612,2044770,0,60,1,0,60,4494.0
1709520733,2044770,0,60,1,0,120,4494.0
1709520854,2044770,0,60,1,1,60,4494.0
1709520975,2044770,0,60,1,1,120,4494.0
1709521096,2022300,0,80,0,0,60,5617.5
1709521217,2022300,0,80,0,0,120,5617.5
1709521338,2022300,0,80,0,1,60,5617.5
1709521459,2022300,0,80,0,1,120,5617.5
1709521580,1999830,0,80,1,0,60,11235.0
1709521700,1999830,0,80,1,0,120,11235.0
1709521821,1977360,0,80,1,1,60,5617.5
1709521943,1977360,0,80,1,1,120,5617.5
1709522063,1977360,0,100,0,0,60,5617.5
1709522184,1977360,0,100,0,0,120,5617.5
1709522305,1954890,0,100,0,1,60,7490.0
1709522426,1954890,0,100,0,1,120,7490.0
1709522547,1954890,0,100,1,0,60,7490.0
1709522668,1932420,0,100,1,0,120,11235.0
1709522789,1932420,0,100,1,1,60,11235.0
1709522910,1909950,0,100,1,1,120,7490.0
1709523031,1909950,1,0,0,0,60,7490.0
1709523153,1909950,1,0,0,0,120,7490.0
1709523274,1887480,1,0,0,1,60,22470.0
1709523394,1865010,1,0,0,1,120,5617.5
1709523515,1865010,1,0,1,0,60,5617.5
1709523636,1865010,1,0,1,0,120,5617.5
1709523756,1865010,1,0,1,1,60,5617.5
1709523877,1842540,1,0,1,1,120,22470.0
1709523998,1820070,1,20,0,0,60,7490.0
1709524119,1820070,1,20,0,0,120,7490.0
1709524239,1820070,1,20,0,1,60,7490.0
1709524360,1797600,1,20,0,1,120,11235.0
1709524480,1797600,1,20,1,0,60,11235.0
1709524601,1775130,1,20,1,0,120,22470.0
1709524722,1752660,1,20,1,1,60,22470.0
1709524842,1730190,1,20,1,1,120,7490.0
1709524963,1730190,1,40,0,0,60,7490.0
1709525084,1730190,1,40,0,0,120,7490.0
1709525204,1707720,1,40,0,1,60,11235.0
1709525325,1707720,1,40,0,1,120,11235.0
1709525445,1685250,1,40,1,0,60,22470.0
1709525566,1662780,1,40,1,0,120,11235.0
1709525687,1662780,1,40,1,1,60,11235.0
1709525807,1640310,1,40,1,1,120,11235.0
1709525928,1640310,1,60,0,0,60,11235.0
1709526049,1617840,1,60,0,0,120,22470.0
1709526170,1595370,1,60,0,1,60,11235.0
1709526291,1595370,1,60,0,1,120,11235.0
1709526411,1572900,1,60,1,0,60,22470.0
1709526532,1550430,1,60,1,0,120,22470.0
1709526652,1527960,1,60,1,1,60,22470.0
1709526773,1505490,1,60,1,1,120,11235.0
1709526894,1505490,1,80,0,0,60,11235.0
1709527014,1483020,1,80,0,0,120,11235.0
1709527135,1483020,1,80,0,1,60,11235.0
1709527256,1460550,1,80,0,1,120,22470.0
1709527376,1438080,1,80,1,0,60,22470.0
1709527497,1415610,1,80,1,0,120,11235.0
1709527618,1415610,1,80,1,1,60,11235.0
1709527738,1393140,1,80,1,1,120,22470.0
1709527859,1370670,1,100,0,0,60,22470.0
1709527980,1348200,1,100,0,0,120,22470.0
1709528100,1325730,1,100,0,1,60,22470.0
1709528221,1303260,1,100,0,1,120,11235.0
1709528342,1303260,1,100,1,0,60,11235.0
1709528462,1280790,1,100,1,0,120,22470.0
1709528583,1258320,1,100,1,1,60,11235.0
1709528704,1258320,1,100,1,1,120,11235.0
1709528824,1235850,2,0,0,0,60,22470.0
1709528945,1213380,2,0,0,0,120,3210.0
1709529066,1213380,2,0,0,1,60,3210.0
1709529187,1213380,2,0,0,1,120,3210.0
1709529307,1213380,2,0,1,0,60,3210.0
1709529428,1213380,2,0,1,0,120,3210.0
1709529549,1213380,2,0,1,1,60,3210.0
1709529670,1213380,2,0,1,1,120,3210.0
1709529790,1190910,2,20,0,0,60,4494.0
1709529911,1190910,2,20,0,0,120,4494.0
1709530032,1190910,2,20,0,1,60,4494.0
1709530153,1190910,2,20,0,1,120,4494.0
1709530274,1190910,2,20,1,0,60,4494.0
1709530394,1168440,2,20,1,0,120,5617.5
1709530515,1168440,2,20,1,1,60,5617.5
1709530636,1168440,2,20,1,1,120,5617.5
1709530757,1168440,2,40,0,0,60,5617.5
1709530878,1145970,2,40,0,0,120,7490.0
