timestamp,currentCharge,application_workload,brightness,gps,power_saving,refresh_rate
,,none,0,0,0,60
,,none,0,0,0,120
,,none,0,0,1,60
,,none,0,0,1,120
,,none,0,1,0,60
,,none,0,1,0,120
,,none,0,1,1,60
,,none,0,1,1,120
,,none,20,0,0,60
,,none,20,0,0,120
,,none,20,0,1,60
,,none,20,0,1,120
,,none,20,1,0,60
,,none,20,1,0,120
,,none,20,1,1,60
,,none,20,1,1,120
,,none,40,0,0,60
,,none,40,0,0,120
,,none,40,0,1,60
,,none,40,0,1,120
,,none,40,1,0,60
,,none,40,1,0,120
,,none,40,1,1,60
,,none,40,1,1,120
,,none,60,0,0,60
,,none,60,0,0,120
,,none,60,0,1,60
,,none,60,0,1,120
,,none,60,1,0,60
,,none,60,1,0,120
,,none,60,1,1,60
,,none,60,1,1,120
,,none,80,0,0,60
,,none,80,0,0,120
,,none,80,0,1,60
,,none,80,0,1,120
,,none,80,1,0,60
,,none,80,1,0,120
,,none,80,1,1,60
,,none,80,1,1,120
,,none,100,0,0,60
,,none,100,0,0,120
,,none,100,0,1,60
,,none,100,0,1,120
,,none,100,1,0,60
,,none,100,1,0,120
,,none,100,1,1,60
,,none,100,1,1,120
,,game,0,0,0,60
,,game,0,0,0,120
,,game,0,0,1,60
,,game,0,0,1,120
,,game,0,1,0,60
,,game,0,1,0,120
,,game,0,1,1,60
,,game,0,1,1,120
,,game,20,0,0,60
,,game,20,0,0,120
,,game,20,0,1,60
,,game,20,0,1,120
,,game,20,1,0,60
,,game,20,1,0,120
,,game,20,1,1,60
,,game,20,1,1,120
,,game,40,0,0,60
,,game,40,0,0,120
,,game,40,0,1,60
,,game,40,0,1,120
,,game,40,1,0,60
,,game,40,1,0,120
,,game,40,1,1,60
,,game,40,1,1,120
,,game,60,0,0,60
,,game,60,0,0,120
,,game,60,0,1,60
,,game,60,0,1,120
,,game,60,1,0,60
,,game,60,1,0,120
,,game,60,1,1,60
,,game,60,1,1,120
,,game,80,0,0,60
,,game,80,0,0,120
,,game,80,0,1,60
,,game,80,0,1,120
,,game,80,1,0,60
,,game,80,1,0,120
,,game,80,1,1,60
,,game,80,1,1,120
,,game,100,0,0,60
,,game,100,0,0,120
,,game,100,0,1,60
,,game,100,0,1,120
,,game,100,1,0,60
,,game,100,1,0,120
,,game,100,1,1,60
,,game,100,1,1,120
,,video720,0,0,0,60
,,video720,0,0,0,120
,,video720,0,0,1,60
,,video720,0,0,1,120
,,video720,0,1,0,60
,,video720,0,1,0,120
,,video720,0,1,1,60
,,video720,0,1,1,120
,,video720,20,0,0,60
,,video720,20,0,0,120
,,video720,20,0,1,60
,,video720,20,0,1,120
,,video720,20,1,0,60
,,video720,20,1,0,120
,,video720,20,1,1,60
,,video720,20,1,1,120
,,video720,40,0,0,60
,,video720,40,0,0,120
,,video720,40,0,1,60
,,video720,40,0,1,120
,,video720,40,1,0,60
,,video720,40,1,0,120
,,video720,40,1,1,60
,,video720,40,1,1,120
,,video720,60,0,0,60
,,video720,60,0,0,120
,,video720,60,0,1,60
,,video720,60,0,1,120
,,video720,60,1,0,60
,,video720,60,1,0,120
